Variable name,Description of variable,Type
Replication raw difference lower CI,Lower bounds of the 95% confidence interval of the replication raw difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data.,numeric
Replication raw difference upper CI,Upper bounds of the 95% confidence interval of the replication raw difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data.,numeric
Effect size type,The type of effect size applied to the original and replication data.,"categorical: Cohen's d, Cohen's dz, Glass' delta, Cliff's delta, Cohen's w, Hazard ratio, r, Spearman's r, Pearson's r, NA"
Original effect size,Value of the effect size of the original data.,numeric
Original standard error,Standard error of the effect size of the original data (note: for effect size r the error is for fisher's z; for effect size HR the error is for log(HR)),numeric
Original lower CI,Lower bounds of the 95% confidence interval for the effect size of the original data.,numeric
Original upper CI,Upper bounds of the 95% confidence interval for the effect size of the original data.,numeric
Replication effect size,Value of the effect size size of the replication data.,numeric
Replication standard error,Standard error of the effect size of the replication data (note: for effect size r the error is for fisher's z; for effect size HR the error is for log(HR)),numeric
Replication lower CI,Lower bounds of the 95% confidence interval for the effect size of the replication data.,numeric
Replication upper CI,Upper bounds of the 95% confidence interval for the effect size of the replication data.,numeric
Meta-analysis effect size,Value of the effect size of a fixed effects meta-analysis of the original and replication effects. Note: if Internal replication # is more than 1 all internal replications are included in the meta-analysis.,numeric
Meta-analysis lower CI,Lower bounds of the 95% confidence interval for the effect size of the fixed effects meta-analysis of the original and replication effects.,numeric
Meta-analysis upper CI,Upper bounds of the 95% confidence interval for the effect size of the fixed effects meta-analysis of the original and replication effects.,numeric
Meta-analysis p value,P-value of the fixed effects meta-analysis of the original and replication effects.,numeric
Observed difference in replication? (SMD),Indicates direction of replication SMD effect relative to the original SMD effect. Null-positive and Null-negative indicate the direction of the null effect releative to the original effect when a statistical test was conducted on the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),"categorical: Positive, Null, Negative, Null-positive, Null-negative"
Statistical test applied to original data (SMD),The type of statistical test applied to the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, between-subjects ANOVA, contrast of between-subjects ANOVA, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Pearson's correlation, NA"
Original test statistic type (SMD),"The type of test statistic associated with the statistical test applied to the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)
","categorical: t, z, F, chi-squared, NA"
Original test statistic value (SMD),Value of test statistic from the statistical test applied to the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Original df1 (SMD),"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)",numeric
Original df2 (SMD),"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)
",numeric
Original p value (SMD),P-value from statistical test applied to the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication statistical test (SMD),The type of statistical test applied to the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, between-subjects ANOVA, contrast of between-subjects ANOVA, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Pearson's correlation, NA"
Replication test statistic type (SMD),The type of test statistic associated with the statistical test applied to the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),"categorical: t, z, F, chi-squared, NA"
Replication test statistic value (SMD),Value of test statistic from the statistical test applied to the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication df1 (SMD),"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)",numeric
Replication df2 (SMD),"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)",numeric
Replication p value (SMD),P-value from statistical test applied to the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication raw difference (if original reported representative data) (SMD),"If original data was representative the replication point difference between the two groups being tested (if applicable). NA if original data was not representative, if original data was representative but a point difference can not be computed (e.g., a between-subjects ANOVA would have been the statistical test of interest), or if original data was representative but a point difference can not be computed for replication data (e.g., general trend is observable, but quantiative data is unreliable). (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)",numeric
Replication raw difference type (mean or median) (SMD),"If original data was representative the type of difference given in the replication raw difference. The type is matched to the replication statistical test (e.g., mean for Student's t test). NA if no replication raw difference recorded or if unable to be determine for replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.)","categorical: Mean, NA"
Replication raw diference standard error (SMD),Standard error of the raw mean difference of the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication raw difference lower CI (SMD),Lower bounds of the 95% confidence interval of the replication mean difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication raw difference upper CI (SMD),Upper bounds of the 95% confidence interval of the replication mean difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Effect size type (SMD),The type of SMD effect size applied to the original and replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),"categorical: Cohen's d, Cohen's dz, Glass' delta, Hazard ratio, Pearson's r, NA"
Original effect size (SMD),Value of the SMD effect size of the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Original standard error (SMD),Standard error of the SMD effect size of the original data (note: for effect size r the error is for fisher's z; for effect size HR the error is for log(HR)). (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Original lower CI (SMD),Lower bounds of the 95% confidence interval for the SMD effect size of the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Original upper CI (SMD),Upper bounds of the 95% confidence interval for the SMD effect size of the original data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication effect size (SMD),Value of the SMD effect size size of the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication standard error (SMD),Standard error of the SMD effect size of the replication data (note: for effect size r the error is for fisher's z; for effect size HR the error is for log(HR)). (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication lower CI (SMD),Lower bounds of the 95% confidence interval for the SMD effect size of the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Replication upper CI (SMD),Upper bounds of the 95% confidence interval for the SMD effect size of the replication data. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Meta-analysis effect size (SMD),Value of the SMD effect size of a fixed effects meta-analysis of the original and replication effects. Note: if Internal replication # is more than 1 all internal replications are included in the meta-analysis. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Meta-analysis lower CI (SMD),Lower bounds of the 95% confidence interval for the SMD effect size of the fixed effects meta-analysis of the original and replication effects. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Meta-analysis upper CI (SMD),Upper bounds of the 95% confidence interval for the SMD effect size of the fixed effects meta-analysis of the original and replication effects. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Meta-analysis p value (SMD),P-value of the meta-analysis of the original and replication SMD effects. (Note: SMD indicates the calculated effect size type to enable conversion (where necessary) to an SMD effect size.),numeric
Notes,Notes about any of the variables where relevant.,string
