Variable name,Description of variable,Type
Paper #,Abritary number starting at 1 for each original paper and increasing by 1 for each Paper. Same as Paper level and Experiment level.,numeric
Experiment #,Abritary number starting at 1 for each unique Study # and increasing by 1 for each Experiment. Same as Experiment level.,numeric
Effect #,Abritary number starting at 1 for each unique Experiment # and increasing by 1 for each Effect.,numeric
Internal replication #,"Abritary number starting at 1 for each unique Effect # and increasing by 1 for each Effect where more than one replication was conducted (e.g., same experiment in more than one cell line).",numeric
Effect description,"Description explaining the effect (e.g., which two conditions are being compared).",string
Expected difference based on the original paper?,"Indicates direction of original effect, which are described as positive unless original claim was a null finding.","categorical: Positive, Null"
Observed difference in replication?,Indicates direction of replication effect relative to the original effect. Null-positive and Null-negative indicate the direction of the null effect releative to the original effect when a statistical test was conducted on the replication data.,"categorical: Positive, Null, Negative, Null-positive, Null-negative"
Original sample size,"Original sample size of the focal statistical test (e.g., total sample size of the two groups being compared). Unknown indicates original sample size was unable to be determined. NA indicates an original effect that is not directly comparable to the replication data. ","numeric or categorical: Unknown, NA"
Replication sample size,"Replication sample size of the focal statistical test (e.g., total sample size of the two groups being compared).",numeric
Was a statistical test reported in the original paper?,Original paper reports statistical test used. NA indicates an original effect that is not directly comparable to the replication data. Notes indicate additional informaiton where necessary.,"categorical: Yes, No, NA"
What statistical test was reported?,"The type of statistical test reported in the original paper. Unknown indicates a statistical test was conducted, but unknown what type.","categorical: Student's t test, paired t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Log-rank Mantel-Cox test, Spearman's rank correlation, Pearson's correlation, Unknown, NA"
Statistical test applied to original data,The type of statistical test applied to the original data.,"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Wilcoxon signed-rank test, Kruskal-Wallis rank sum test, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Spearman's rank correlation, Pearson's correlation, NA"
Original test statistic type,The type of test statistic associated with the statistical test applied to the original data.,"categorical: t, z, F, chi-squared, rho, NA"
Original test statistic value,Value of test statistic from the statistical test applied to the original data.,numeric
Original df1,"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. ",numeric
Original df2,"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. ",numeric
Original p value,P-value from statistical test applied to the original data.,numeric
Replication statistical test,The type of statistical test applied to the replication data.,"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Wilcoxon signed-rank test, Kruskal-Wallis rank sum test, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Spearman's rank correlation, Pearson's correlation, NA"
Replication test statistic type,The type of test statistic associated with the statistical test applied to the replication data.,"categorical: t, z, F, chi-squared, rho, NA"
Replication test statistic value,Value of test statistic from the statistical test applied to the replication data.,numeric
Replication df1,"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. ",numeric
Replication df2,"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2. ",numeric
Replication p value,P-value from statistical test applied to the replication data.,numeric
Was original data representative?,"Indicates if the original data reported in the original paper was representative (e.g., single Western blot image).","categorical: Yes, No, NA"
Original point difference (for representative data),"If original data was representative the original point difference between the two groups being tested (if applicable). NA if original data was not representative or if original data was representative but a point difference can not be computed (e.g., a between-subjects ANOVA would have been the statistical test of interest).",numeric
Replication raw difference (if original reported representative data),"If original data was representative the replication point difference between the two groups being tested (if applicable). NA if original data was not representative, if original data was representative but a point difference can not be computed (e.g., a between-subjects ANOVA would have been the statistical test of interest), or if original data was representative but a point difference can not be computed for replication data (e.g., general trend is observable, but quantiative data is unreliable).",numeric
Replication raw difference type (mean or median),"If original data was representative the type of difference given in the replication raw difference. The type is matched to the replication statistical test (e.g., mean for Student's t test; median for Mann-Whitney). NA if no replication raw difference recorded or if unable to be determine for replication data.","categorical: Mean, Median, NA"
Replication raw diference standard error,Standard error of the raw mean difference of the replication data.,numeric
