study,leg,tasks,TARGET_ONLY_DIRECT,STRONGEST_DOMAIN_FORMAL_PARENT,F0_PARENT_FEDERATION,F2_STATIC_NO_FORMAL_DISCOVERY,F2_FORMAL_DISCOVERY_FULL
fg10,n160,160,160/160,160/160,160/160,160/160,156/160
fg20,n120,120,120/120,119/120,120/120,119/120,120/120
fg30,n160,160,160/160,160/160,160/160,160/160,155/160
fg40,n120,120,117/120,117/120,117/120,117/120,115/120
fg50,n120,120,107/120,114/120,111/120,120/120,118/120
fg60,n120,120,120/120,120/120,119/120,120/120,117/120
fg70,n160,160,141/160,144/160,134/160,139/160,132/160
fg80,n80,80,42/80,33/80,34/80,32/80,23/80
fm10,n120,120,120/120,120/120,120/120,120/120,120/120
fm20,n120,120,94/120,83/120,94/120,80/120,92/120
fm30,n96,96,43/96,59/96,58/96,54/96,55/96
fm40,n120,120,120/120,120/120,120/120,120/120,120/120
fm50,n96,96,96/96,89/96,93/96,96/96,95/96
fm60,n120,120,32/120,32/120,32/120,32/120,32/120
